Date,Ref/Check,Description,Amount,Balance,Memo,Category
8/13/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,10000,20357.81,,
8/13/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-5000,15357.81,,
8/13/2015,,Wire Out Idealease El Paso,-2361.04,12996.77,,
8/13/2015,,Daily Ledger Bal,,12996.77,,
8/14/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2200,15196.77,,
8/14/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-10000,5196.77,,
8/16/2015,,Analysis Charge 07 2015 Charge,-11.71,5185.06,,
8/16/2015,,Daily Ledger Bal,,5185.06,,
8/17/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,850,6035.06,,
8/17/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2400,8435.06,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4,8431.06,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-306,8125.06,,
8/17/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1847,6278.06,,
8/17/2015,,Wire Out Idealease El Paso,-2348.7,3929.36,,
8/17/2015,,Daily Ledger Bal,,3929.36,,
8/18/2015,,Alliance Payoff MMA to LOC Sweep,-22720.15,-18790.79,,
8/18/2015,1,Check,-800,-19590.79,,
8/18/2015,,Alliance Payoff LOC to MMA Sweep,22720.15,3129.36,,
8/18/2015,,Daily Ledger Bal,,3129.36,,
8/20/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,12001,15130.36,,
8/20/2015,,Daily Ledger Bal,,15130.36,,
8/21/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2200,17330.36,,
8/21/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,17288.86,,
8/21/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-12000,5288.86,,
8/21/2015,,Daily Ledger Bal,,5288.86,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4,5284.86,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-306,4978.86,,
8/24/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1847,3131.86,,
8/24/2015,,Daily Ledger Bal,,3131.86,,
8/25/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,999,4130.86,,
8/25/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,15001,19131.86,,
8/25/2015,,Alliance Payoff MMA to LOC Sweep,-17136.57,1995.29,,
8/25/2015,2,Check,-800,1195.29,,
8/25/2015,,Wire Out Idealease El Paso,-2138.07,-942.78,,
8/25/2015,,Alliance Payoff LOC to MMA Sweep,17136.57,16193.79,,
8/25/2015,,Daily Ledger Bal,,16193.79,,
8/26/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-15000,1193.79,,
8/26/2015,,Daily Ledger Bal,,1193.79,,
8/27/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,8001,9194.79,,
8/27/2015,,Daily Ledger Bal,,9194.79,,
8/28/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,2200,11394.79,,
8/28/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,3001,14395.79,,
8/28/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,14354.29,,
8/28/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-8000,6354.29,,
8/28/2015,,Wire Out NutriGold Inc,-3000,3354.29,,
8/28/2015,,Daily Ledger Bal,,3354.29,,
8/31/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,791,4145.29,,
8/31/2015,,Alliance Payoff MMA to LOC Sweep,-28198.5,-24053.21,,
8/31/2015,,Accr Earning Pymt Added to Account,1.14,-24052.07,,
8/31/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-4,-24056.07,,
8/31/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-306,-24362.07,,
8/31/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1847,-26209.07,,
8/31/2015,,Alliance Payoff LOC to MMA Sweep,28198.5,1989.43,,
8/31/2015,,Daily Ledger Bal,,1989.43,,
